date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:55:57	25010/25010	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Oct%202019%2017:12:39%20GMT	https://preview.uideck.com/items/smart-demo/assets/smart/index.html	C:/Users/Collins%20Mogaka/Desktop/smart/preview.uideck.com/items/smart-demo/assets/smart/index.html	(from )
09:55:58	46/46	---MCZ	200	added ('OK')	text/plain	etag:W/%22592b3107-1a%22	https://preview.uideck.com/robots.txt		(from )
09:55:58	2597/2597	---M--	200	added ('OK')	image/png	etag:%225dab442d-a25%22	https://preview.uideck.com/items/smart-demo/assets/smart/assets/images/favicon.png	C:/Users/Collins%20Mogaka/Desktop/smart/preview.uideck.com/items/smart-demo/assets/smart/assets/images/favicon.png	(from https://preview.uideck.com/items/smart-demo/assets/smart/index.html)
09:55:59	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%225dab440f-2606e%22	https://preview.uideck.com/items/smart-demo/assets/smart/assets/css/bootstrap.min.css	C:/Users/Collins%20Mogaka/Desktop/smart/preview.uideck.com/items/smart-demo/assets/smart/assets/css/bootstrap.min.css	(from https://preview.uideck.com/items/smart-demo/assets/smart/index.html)
09:55:59	24755/24755	---MCZ	200	added ('OK')	text/css	etag:W/%225dab4414-7abc%22	https://preview.uideck.com/items/smart-demo/assets/smart/assets/css/LineIcons.css	C:/Users/Collins%20Mogaka/Desktop/smart/preview.uideck.com/items/smart-demo/assets/smart/assets/css/LineIcons.css	(from https://preview.uideck.com/items/smart-demo/assets/smart/index.html)
09:55:59	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%225dab440f-1b27%22	https://preview.uideck.com/items/smart-demo/assets/smart/assets/css/magnific-popup.css	C:/Users/Collins%20Mogaka/Desktop/smart/preview.uideck.com/items/smart-demo/assets/smart/assets/css/magnific-popup.css	(from https://preview.uideck.com/items/smart-demo/assets/smart/index.html)
09:55:59	1330/1330	---MCZ	200	added ('OK')	text/css	etag:W/%225dab4410-6f0%22	https://preview.uideck.com/items/smart-demo/assets/smart/assets/css/slick.css	C:/Users/Collins%20Mogaka/Desktop/smart/preview.uideck.com/items/smart-demo/assets/smart/assets/css/slick.css	(from https://preview.uideck.com/items/smart-demo/assets/smart/index.html)
09:56:00	60708/60708	---MCZ	200	added ('OK')	text/css	etag:W/%225dab4412-13047%22	https://preview.uideck.com/items/smart-demo/assets/smart/assets/css/animate.css	C:/Users/Collins%20Mogaka/Desktop/smart/preview.uideck.com/items/smart-demo/assets/smart/assets/css/animate.css	(from https://preview.uideck.com/items/smart-demo/assets/smart/index.html)
09:56:00	7953/7953	---MCZ	200	added ('OK')	text/css	etag:W/%225dab4415-2c28%22	https://preview.uideck.com/items/smart-demo/assets/smart/assets/css/default.css	C:/Users/Collins%20Mogaka/Desktop/smart/preview.uideck.com/items/smart-demo/assets/smart/assets/css/default.css	(from https://preview.uideck.com/items/smart-demo/assets/smart/index.html)
09:56:00	58661/58661	---MCZ	200	added ('OK')	text/css	etag:W/%225dab4417-13d40%22	https://preview.uideck.com/items/smart-demo/assets/smart/assets/css/style.css	C:/Users/Collins%20Mogaka/Desktop/smart/preview.uideck.com/items/smart-demo/assets/smart/assets/css/style.css	(from https://preview.uideck.com/items/smart-demo/assets/smart/index.html)
